"_path","_id","sessionId","type","timestamp","clientTimestamp","timeElapsedSeconds","readableTime","semesterTime","taskId","from","to","isAutoAdvance","completed","leftForTask","timeSpentSeconds","attempts","accuracy","userAnswer","correctAnswer","points","pointsEarned","categoryPoints","studentLearningScore","engagementInterest","completionContext","totalTimeSeconds","0","1","2","3","4","5","taskType","reason","studentId","section","6","7","currentMode","semester","hasCheckpoint","action","response","currentTask","totalSwitches","completedTasks","completedLevels","completionReason","gameMode","currentSemester","totalBonus","finalScore","finalContext","practiceCompleted","totalSemesters","isAdminMode","choice"
"events/1X6itgFFPDr99nnYs0hG","1X6itgFFPDr99nnYs0hG","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:52:12.845Z",1756479132845,703,"11:42","{""elapsedSeconds"":703,""readable"":""11:42"",""minutes"":11,""seconds"":42}","g2t45",,,,,,,1,100,1.72,1.72,2,2,"{""materials"":84,""research"":21,""engagement"":85,""bonus"":0}",1746.4588500000004,1397.8588500000005,"{""totalTasksCompleted"":109,""currentGameTime"":612,""switchesBeforeCompletion"":26,""bonusPromptsEarned"":109,""timeRemaining"":108}","19.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1bLnkJnMCPssdNCyf7qI","1bLnkJnMCPssdNCyf7qI","3JNmRl43SrpAGSlPV49M","task_attempt","2025-08-29T14:44:13.901Z",1756478653901,224.1,"3:44","{""elapsedSeconds"":224.1,""readable"":""3:44"",""minutes"":3,""seconds"":44}","g1t10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1do8n40TNRdkw26T41dM","1do8n40TNRdkw26T41dM","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:49:29.303Z",1756478969303,539.5,"8:59","{""elapsedSeconds"":539.5,""readable"":""8:59"",""minutes"":8,""seconds"":59}","g2t29",,,,,,,1,100,7.18,7.18,2,2,"{""materials"":54,""research"":21,""engagement"":59,""bonus"":0}",608.5786500000002,384.4786500000001,"{""totalTasksCompleted"":77,""currentGameTime"":448,""switchesBeforeCompletion"":18,""bonusPromptsEarned"":77,""timeRemaining"":272}","18.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1f05A0PcCujl1IMhFgXp","1f05A0PcCujl1IMhFgXp","3JNmRl43SrpAGSlPV49M","ai_help_response","2025-08-29T14:49:17.500Z",1756478957500,527.6,"8:47","{""elapsedSeconds"":527.6,""readable"":""8:47"",""minutes"":8,""seconds"":47}","g2t26",,,,,,,,,,,,,,,,,,"s","l","i","d","e","r",,,,,,,,,,,,,,,,,,,,,,,,,
"events/1hpjzPR4Kr7sRocTRagJ","1hpjzPR4Kr7sRocTRagJ","3JNmRl43SrpAGSlPV49M","ai_task_help","2025-08-29T14:44:24.467Z",1756478664467,234.6,"3:54","{""elapsedSeconds"":234.6,""readable"":""3:54"",""minutes"":3,""seconds"":54}",,,,,,,,,,,,,,,,,,,"t","y","p","i","n","g","g3t7",,,,,,,,,,,,,,,,,,,,,,,,
"events/1jw1jPbzrXMjakYCeYEy","1jw1jPbzrXMjakYCeYEy","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:45:54.182Z",1756478754182,324.3,"5:24","{""elapsedSeconds"":324.3,""readable"":""5:24"",""minutes"":5,""seconds"":24}","g3t16",,,,,,,1,100,"KeEp GoInG","KeEp GoInG",2,2,"{""materials"":4,""research"":21,""engagement"":30,""bonus"":0}",23.607100000000003,7.0071,"{""totalTasksCompleted"":35,""currentGameTime"":233,""switchesBeforeCompletion"":15,""bonusPromptsEarned"":35,""timeRemaining"":487}","16.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1lPIWtt6QRQrOHnUfoyM","1lPIWtt6QRQrOHnUfoyM","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:42:18.413Z",1756478538413,108.6,"1:48","{""elapsedSeconds"":108.6,""readable"":""1:48"",""minutes"":1,""seconds"":48}","g1t1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1n5HxKutB2SSC6YV3mB1","1n5HxKutB2SSC6YV3mB1","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:42:26.027Z",1756478546027,116.2,"1:56","{""elapsedSeconds"":116.2,""readable"":""1:56"",""minutes"":1,""seconds"":56}","g3t2",,,,false,"g1t2","0.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1oVgH0KNHywXpKsT9QXO","1oVgH0KNHywXpKsT9QXO","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:46:49.666Z",1756478809666,379.8,"6:19","{""elapsedSeconds"":379.8,""readable"":""6:19"",""minutes"":6,""seconds"":19}","g2t10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1ocSyUvmw9mdjOSYfGBK","1ocSyUvmw9mdjOSYfGBK","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:57:41.166Z",1756479461166,1031.3,"17:11","{""elapsedSeconds"":1031.3,""readable"":""17:11"",""minutes"":17,""seconds"":11}","g3t14",,,,,,,1,70,"MeDium MoDe","MeDiUm MoDe",1,1,"{""materials"":27,""research"":4,""engagement"":27,""bonus"":0}",59.46300000000001,16.263000000000005,"{""totalTasksCompleted"":31,""currentGameTime"":211,""switchesBeforeCompletion"":20,""bonusPromptsEarned"":31,""timeRemaining"":509}","52.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
